# This is a complex Spruce Budworm model as suggested by the paper
#
#   "Fluctuations in Density of an Outbreak Species Drive Diversity Cascades in Food Webs"
#   by: Eldon S. Eveleigh, Kevin S. McCann, Peter C. McCarthy, Steven J. Pollock,
#     Christopher J. Lucarotti, Benoit Morin, George A. McDougall, Douglas B. Strongman, 
#     John T. Huber, James Umbanhowar and Lucas D. B. Faria
#   in: Proceedings of the National Academy of Sciences of the United States of America,
#     Vol. 104, No. 43 (Oct. 23, 2007), pp. 16976-16981
#
# See figure 1.{A,B,C} 
#
# Species code:
#
#  Trophic level 1
#     Bf Balsam fir
#
#  Trophic level 2
#     Ca Coleotechnites atrupictella
#     Cp Coleotechnites picaella
#     Av Acleris variana
#     Cf Choristoneura fumiferana
#     Er Epinota radicana
#     Cr Choristoneura rosaceana
#
# Parameter code:
#  gR    growth rate
#  gRstd growth rate standard deviation
#  cC    carrying capacity
#  cCstd carrying capacity standard deviation
#  tL    time lag
#  tLstd time lag standard deviation
#  m     mortality
#  mStd  mortality standard deviation
#  hS    half saturation
#  hSstd half saturation standard deviation
#
# all parameters must be positive, negative numbers denote NA_real_

"species",  "gR", "gRstd",  "cC", "cCstd",  "tL", "tLstd",  "m", "mstd", "hS", "hSstd"
#
# Trophic level 1
#
     "Bf",   0.2,     0.1,    25,       5,     2,       1,    0,      0,   -1,      -1
#
# Trophic level 2
#
     "Ca",     0,       0,    -1,      -1,    -1,      -1,  0.2,    0.1,   40,       5
     "Cp",     0,       0,    -1,      -1,    -1,      -1,  0.2,    0.1,   40,       5
     "Av",     0,       0,    -1,      -1,    -1,      -1,  0.2,    0.1,   40,       5
     "Cf",     0,       0,    -1,      -1,    -1,      -1,  0.2,    0.1,   40,       5
     "Er",     0,       0,    -1,      -1,    -1,      -1,  0.2,    0.1,   40,       5
     "Cr",     0,       0,    -1,      -1,    -1,      -1,  0.2,    0.1,   40,       5
